Input Size,Time taken(s),#Comparisions
100000,27.328125,4999950000
150000,62.828125,11249925000
200000,110.453125,19999900000
250000,174,31249875000
300000,249.59375,44999850000
350000,345.03125,61249825000
400000,441.28125,79999800000
450000,561.28125,1.0125E+11
500000,694.546875,1.25E+11
550000,835.40625,1.5125E+11
600000,1010.90625,1.8E+11
650000,1192.328125,2.1125E+11
700000,1362.5625,2.45E+11
750000,1557.390625,2.8125E+11
800000,1768.890625,3.2E+11
850000,2001.546875,3.6125E+11
900000,2242.3125,4.05E+11
950000,2518.421875,4.5125E+11
1000000,2777.59375,5E+11
