Input Size,Time taken(s),#Comparisions
100000,0.0625,1536260
150000,0.109375,2392290
200000,0.125,3272689
250000,0.1875,4168937
300000,0.191875,5084379
350000,0.21875,6011343
400000,0.25,6945635
450000,0.296875,7888924
500000,0.3125,8837744
550000,0.34375,9797537
600000,0.390625,10768743
650000,0.4375,11743999
700000,0.453125,12723256
750000,0.46875,13705002
800000,0.515625,14691150
850000,0.5625,15683834
900000,0.59375,16678270
950000,0.625,17675228
1000000,0.65625,18674140
