Input Size,Time taken(s),#Comparisions
100000,0.046875,1999122
150000,0.0625,3138031
200000,0.09375,4212092
250000,0.109375,5436871
300000,0.140625,7058116
350000,0.160625,8147722
400000,0.171875,9286639
450000,0.1975,10389040
500000,0.234375,12082411
550000,0.265625,12840811
600000,0.28125,14349185
650000,0.3125,15582511
700000,0.3224,17238885
750000,0.34375,18255708
800000,0.375,19693164
850000,0.39375,20753742
900000,0.421875,22012858
950000,0.4375,22482616
1000000,0.453125,24993946
